field_id,lat,lon,date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS10M
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-01,-2.13,1.8,-3.49,8.51,3.66,80.72,6.85
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-02,-1.29,2.5,-4.25,0.44,6.17,86.91,2.21
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-03,-0.37,6.21,-4.53,0.09,9.41,90.64,2.98
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-04,2.22,8.58,-1.7,0.01,10.76,78.64,4.95
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-05,2.74,9.0,-1.97,0.01,8.65,75.88,5.25
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-06,3.45,5.98,1.23,0.92,4.23,92.58,3.48
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-07,1.38,6.56,-4.09,0.32,4.07,84.96,3.95
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-08,-0.49,4.14,-3.65,0.01,8.78,76.56,2.12
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-09,-0.94,4.58,-4.0,0.0,5.53,79.87,2.1
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-10,-1.49,3.38,-3.71,0.0,8.21,82.15,2.88
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-11,0.07,7.37,-4.27,0.0,11.35,75.96,3.83
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-12,1.21,10.79,-4.09,0.0,11.64,73.05,4.32
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-13,3.31,11.88,-3.26,0.0,10.2,67.36,5.07
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-14,6.15,9.78,1.64,0.0,9.26,43.97,10.45
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-15,0.85,2.18,-1.81,0.04,4.88,55.49,11.54
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-16,-0.43,5.13,-4.14,0.0,9.1,65.24,4.39
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-17,1.56,8.16,-2.85,0.0,11.65,66.26,5.78
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-18,2.72,10.49,-1.68,0.0,10.46,64.5,4.17
osm-1424247197,38.03199875332268,-96.56275061903469,2021-01-19,1.05,6.56,-3.05,0.0,10.81,67.78,4.01
