marker,p_before,p_after,chi_before,chi_after
0,0.14052960486648436,0.2046736152174793,2.1721503945550857,1.60870727078946
1,0.06299245544223697,0.10959029122564135,3.4567910131202404,2.560119617106544
2,0.8770190620268172,0.8940551759740143,0.023947306708908687,0.01773551523642883
3,0.15314458831888744,0.21893862838492428,2.0406460854500432,1.5113144112859367
4,0.8332679466759153,0.8562392131504949,0.04431537776877668,0.032820227643130036
5,0.5423366569132265,0.6000421891863953,0.3712261718919219,0.27493227141493304
6,0.27118137448503166,0.34366891619355666,1.210761432843423,0.8966969898074818
7,0.3593733033040887,0.43024216051806896,0.840082057806835,0.6221696793377142
8,0.08978228743551175,0.14428390796939117,2.8782726158071403,2.1316655126504505
9,0.15616717203981567,0.22232142388522957,2.0109531948351895,1.489323683046028
10,0.0016194609398825222,0.006669953802048489,9.937491436626788,7.359764207663887
11,0.136204918191273,0.19972540998012633,2.2203189553885148,1.6443811883185793
12,0.7998636995164782,0.8272900962142388,0.06427416787864715,0.04760182418745492
13,0.16943333599477317,0.2370207027843847,1.8879498816497742,1.3982267107790127
14,0.5923831795792374,0.6449817947541839,0.28663784281580845,0.21228566077978517
15,0.44037570721150643,0.5066956059169714,0.5953031817377819,0.4408850138490641
16,0.8309503898441768,0.8542330997162993,0.04557491338131447,0.03375304707533276
17,0.709260007481178,0.7483096235958989,0.13901720225407913,0.10295695205614573
18,0.47256376082713936,0.5364633649721429,0.5159748604691543,0.3821339957223922
19,0.21423794763876614,0.28514049527436747,1.5425546715787324,1.142425000579776
20,0.08563059227412018,0.13906863236400868,2.954654773254354,2.1882345846410143
21,0.5243255205924673,0.5837418368453673,0.4053766343827992,0.3002243034250599
22,0.2322127439776408,0.30389256625797734,1.4272562400307138,1.0570343086613603
23,0.12791820689807665,0.19015458453521905,2.3175884168216188,1.7164195196539471
24,0.20928312980725927,0.2799206594511783,1.576378386962589,1.1674750417737554
25,0.450803847764222,0.5163734003150942,0.5686299604024813,0.4211306703169425
26,0.8183171952722247,0.8432916768534592,0.05276664185086151,0.039079283190246714
27,0.2464569448674402,0.31856265783852467,1.3432766791006912,0.9948385552713168
28,0.3490439353409651,0.420306021465618,0.8769299025226325,0.6494594083803323
29,0.2803598572620287,0.3528834912916803,1.1653446559209704,0.8630610595173337
30,0.3548979868838922,0.42594303888757223,0.8558665941604809,0.6338597991663423
31,0.9596132891615989,0.9652399667401493,0.002564295104133579,0.0018991319334103727
32,0.7243893892588158,0.7615538647956442,0.12432577088447387,0.09207639216405353
33,0.0673093962932877,0.1153654931742718,3.3474453898516225,2.4791376097730873
34,0.9236784798797418,0.9342928372548117,0.009177866158847284,0.006797181289601415
35,0.6295049375736776,0.6780200462497223,0.2327326954188177,0.17236319373151313
36,0.35700521461758183,0.4279684009283883,0.8484005284363437,0.6283303872781422
37,0.25058570403259706,0.3227856364877264,1.3200353641127291,0.9776259016274604
38,0.10223650170430754,0.1596389692663609,2.670303875207947,1.9776426485165992
39,0.9702300627436473,0.974378908253665,0.0013927633183021327,0.0010314886493393198
40,0.19192501310580024,0.26144530634999297,1.7027784795287262,1.2610876886923659
41,0.7910121012085868,0.8196058397096158,0.07022318412418979,0.05200770036998754
42,0.8023752117549318,0.8294693259324695,0.06263723690884827,0.04638950354911567
43,0.46349160436661885,0.5281040810234849,0.5374496400320442,0.39803834291125156
44,0.6202931519181669,0.6698428792806432,0.24545575773625603,0.181785968005374
45,0.8462514560060823,0.8674720629356678,0.03759856092524693,0.0278457138526332
46,0.026583541083280537,0.05633767111331556,4.91765726937502,3.6420457001158226
47,0.662206408834096,0.706944651008486,0.19085445829751338,0.14134792668841942
48,0.13584688761405606,0.1993143630608425,2.2243833290166286,1.6473912871695342
49,0.46028581627761234,0.5251445763061041,0.54519955094409,0.40377797220369394
50,0.8741522407541752,0.8915801770808219,0.0250862874791688,0.018579051048221516
51,0.6151484652761428,0.6652700718956264,0.2527455308264918,0.18718481653909613
52,0.7714587466572661,0.8026092323414483,0.08437126532781797,0.06248585195518577
53,0.15573914689028012,0.22184317880958193,2.0151181457194265,1.4924082700003882
54,0.33061027453951564,0.40245196552700335,0.9465059524843619,0.7009878374093778
55,0.8896428233043855,0.9049494066620035,0.019253277106497144,0.014259089492783619
56,0.9454838863622625,0.9530747931165936,0.004675696558761101,0.003462848184425513
57,0.587806601556373,0.6408921977356937,0.29378273238446817,0.2175772077310933
58,0.8650821640781416,0.8837472730018203,0.028868869081343854,0.021380453078682596
59,0.779237492135914,0.8093745970662743,0.07857529446841294,0.058193322079638864
60,0.33358995798231716,0.4053489763823934,0.9349113475460352,0.6924008052623528
61,0.004135863199556167,0.013593861240997263,8.22318133938782,6.090136135533554
62,0.13197302648918408,0.19485282925109448,2.2691410777595573,1.6805391373402243
63,0.42390709744011246,0.49134186742500907,0.6394580936302977,0.4735863995268765
