field_id,year,crop_code,crop_name,pixel_count,pct
osm-1423087101,2022,24,Winter Wheat,223,50.68
osm-1423087101,2022,1,Corn,42,9.55
osm-1423087101,2022,176,Grass/Pasture,10,2.27
osm-1423087101,2022,5,Soybeans,5,1.14
osm-1423087101,2022,36,Forest,1,0.23
osm-1423116261,2022,176,Grass/Pasture,745,98.41
osm-1424247197,2022,176,Grass/Pasture,17840,96.81
osm-1424247197,2022,24,Winter Wheat,146,0.79
osm-1424247197,2022,1,Corn,8,0.04
osm-1424247197,2022,5,Soybeans,1,0.01
osm-666033354,2022,5,Soybeans,19,79.17
osm-666033354,2022,176,Grass/Pasture,5,20.83
osm-667302408,2022,5,Soybeans,36,90.0
osm-667302408,2022,176,Grass/Pasture,2,5.0
