field_id,year,crop_code,crop_name,pixel_count,pct
osm-1423087101,2020,24,Winter Wheat,424,96.36
osm-1423087101,2020,176,Grass/Pasture,12,2.73
osm-1423087101,2020,5,Soybeans,3,0.68
osm-1423087101,2020,36,Forest,1,0.23
osm-1423116261,2020,176,Grass/Pasture,740,97.75
osm-1424247197,2020,176,Grass/Pasture,17829,96.75
osm-1424247197,2020,5,Soybeans,165,0.9
osm-1424247197,2020,1,Corn,4,0.02
osm-1424247197,2020,24,Winter Wheat,1,0.01
osm-666033354,2020,5,Soybeans,15,62.5
osm-666033354,2020,176,Grass/Pasture,6,25.0
osm-667302408,2020,5,Soybeans,36,90.0
osm-667302408,2020,176,Grass/Pasture,2,5.0
