field_id,mukey,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r
osm-637503855,1443955,Wellsford,60,Well drained,0,13,0.6,7.5,0.13,37.0,25.0,38.0,1.4,19.5
osm-637503855,1443955,Wellsford,60,Well drained,13,43,0.3,8.2,0.11,47.0,19.0,34.0,1.45,24.2
osm-637503855,1443955,Rock outcrop,39,,0,200,,,,,,,,
osm-637503855,1443987,Shellabarger,84,Well drained,0,38,1.5,5.8,0.13,12.0,68.0,20.0,1.58,11.2
osm-637503855,1443989,Shellabarger,55,Well drained,0,28,1.0,5.8,0.14,10.0,68.0,22.0,1.43,8.9
osm-637503855,1443989,Shellabarger,55,Well drained,28,84,0.3,7.0,0.16,23.0,64.0,13.0,1.53,18.0
osm-637503855,1443989,Nalim,44,Well drained,0,25,2.0,6.4,0.14,10.0,65.0,25.0,1.58,9.1
osm-637503855,1443989,Nalim,44,Well drained,25,37,2.0,6.1,0.16,30.0,39.0,31.0,1.56,24.6
osm-637503855,1443992,Vanoss,85,Well drained,0,28,2.0,6.2,0.2,19.0,9.0,72.0,1.42,16.3
osm-637503855,1443992,Vanoss,85,Well drained,28,49,1.0,6.2,0.2,23.0,10.0,67.0,1.34,18.6
osm-637503855,1444012,Blanket,85,Well drained,0,30,2.0,7.0,0.2,21.0,22.0,57.0,1.42,17.9
osm-637503855,1444019,Milan,85,Well drained,0,25,2.0,6.1,0.19,20.0,42.0,38.0,1.46,17.0
osm-637503855,1444019,Milan,85,Well drained,25,36,1.25,6.1,0.16,27.0,35.0,38.0,1.41,21.9
