,ID_001,ID_002,ID_003,ID_004,ID_005,ID_006,ID_007,ID_008,ID_009,ID_010,ID_011,ID_012,ID_013,ID_014,ID_015,ID_016,ID_017,ID_018,ID_019,ID_020,ID_021,ID_022,ID_023,ID_024,ID_025,ID_026,ID_027,ID_028,ID_029,ID_030,ID_031,ID_032,ID_033,ID_034,ID_035,ID_036,ID_037,ID_038,ID_039,ID_040,ID_041,ID_042,ID_043,ID_044,ID_045,ID_046,ID_047,ID_048,ID_049,ID_050
ID_001,0.0,0.27937499999999993,0.2849999999999999,0.270625,0.2693749999999999,0.30374999999999996,0.28937499999999994,0.291875,0.308125,0.27937499999999993,0.29437500000000005,0.28125,0.29000000000000004,0.276875,0.296875,0.2825,0.2875,0.275625,0.28,0.27312500000000006,0.28125,0.27437500000000004,0.28812499999999996,0.301875,0.30562500000000004,0.27625,0.290625,0.296875,0.28312500000000007,0.28374999999999995,0.26875000000000004,0.29437500000000005,0.27812499999999996,0.27625,0.26625,0.29437500000000005,0.2875,0.28374999999999995,0.286875,0.286875,0.31125,0.28875000000000006,0.281875,0.29437500000000005,0.27812499999999996,0.27312500000000006,0.290625,0.271875,0.28374999999999995,0.26750000000000007
ID_002,0.27937499999999993,0.0,0.28437500000000004,0.2849999999999999,0.27125,0.276875,0.2925,0.30125,0.29000000000000004,0.2875,0.2875,0.28812499999999996,0.276875,0.28,0.28374999999999995,0.28437500000000004,0.276875,0.27875000000000005,0.28812499999999996,0.28374999999999995,0.281875,0.29000000000000004,0.2875,0.2775000000000001,0.29000000000000004,0.28312500000000007,0.27249999999999996,0.27125,0.265,0.270625,0.280625,0.29000000000000004,0.27249999999999996,0.2931250000000001,0.29437500000000005,0.27249999999999996,0.285625,0.2931250000000001,0.28,0.29000000000000004,0.286875,0.280625,0.28125,0.29125,0.29125,0.2849999999999999,0.30000000000000004,0.2825,0.281875,0.28312500000000007
ID_003,0.2849999999999999,0.28437500000000004,0.0,0.28312500000000007,0.27312500000000006,0.2825,0.27312500000000006,0.285625,0.275625,0.281875,0.28812499999999996,0.29499999999999993,0.2849999999999999,0.2693749999999999,0.2931250000000001,0.29000000000000004,0.28625,0.275625,0.27,0.27812499999999996,0.29374999999999996,0.27437500000000004,0.276875,0.2931250000000001,0.29437500000000005,0.29125,0.2618750000000001,0.280625,0.291875,0.28374999999999995,0.28,0.295625,0.266875,0.30125,0.265,0.266875,0.28625,0.2775000000000001,0.285625,0.290625,0.30125,0.2849999999999999,0.27812499999999996,0.27812499999999996,0.26812499999999995,0.28437500000000004,0.28937499999999994,0.27437500000000004,0.29000000000000004,0.27249999999999996
ID_004,0.270625,0.2849999999999999,0.28312500000000007,0.0,0.25875000000000004,0.276875,0.27249999999999996,0.2975,0.27625,0.29000000000000004,0.26625,0.27437500000000004,0.270625,0.2875,0.28625,0.28937499999999994,0.2931250000000001,0.29000000000000004,0.27437500000000004,0.2849999999999999,0.270625,0.27249999999999996,0.27374999999999994,0.27249999999999996,0.2825,0.2693749999999999,0.25625,0.27374999999999994,0.27374999999999994,0.2693749999999999,0.27937499999999993,0.28625,0.27249999999999996,0.280625,0.26812499999999995,0.26249999999999996,0.27437500000000004,0.271875,0.26249999999999996,0.29374999999999996,0.28312500000000007,0.2693749999999999,0.2925,0.27625,0.27374999999999994,0.26875000000000004,0.28125,0.28374999999999995,0.281875,0.2693749999999999
ID_005,0.2693749999999999,0.27125,0.27312500000000006,0.25875000000000004,0.0,0.27937499999999993,0.26,0.2825,0.29125,0.27625,0.29000000000000004,0.28937499999999994,0.276875,0.26625,0.28125,0.26812499999999995,0.286875,0.2925,0.295625,0.27875000000000005,0.25687499999999996,0.27625,0.26374999999999993,0.27249999999999996,0.30125,0.27437500000000004,0.275,0.275,0.275,0.270625,0.2693749999999999,0.27125,0.28374999999999995,0.28437500000000004,0.28812499999999996,0.26875000000000004,0.276875,0.276875,0.275,0.26750000000000007,0.286875,0.270625,0.2825,0.27125,0.26125,0.26875000000000004,0.275,0.2925,0.286875,0.27312500000000006
ID_006,0.30374999999999996,0.276875,0.2825,0.276875,0.27937499999999993,0.0,0.2931250000000001,0.27937499999999993,0.27812499999999996,0.295625,0.281875,0.27625,0.2825,0.27812499999999996,0.285625,0.28125,0.28875000000000006,0.280625,0.29499999999999993,0.296875,0.27,0.301875,0.28812499999999996,0.281875,0.306875,0.2849999999999999,0.27437500000000004,0.27812499999999996,0.275625,0.27125,0.29625,0.296875,0.28312500000000007,0.29374999999999996,0.28,0.28937499999999994,0.29000000000000004,0.30125,0.28437500000000004,0.28437500000000004,0.29875000000000007,0.27625,0.296875,0.281875,0.275625,0.28437500000000004,0.27812499999999996,0.296875,0.29000000000000004,0.2875
ID_007,0.28937499999999994,0.2925,0.27312500000000006,0.27249999999999996,0.26,0.2931250000000001,0.0,0.29125,0.28374999999999995,0.28,0.27374999999999994,0.286875,0.286875,0.28,0.2975,0.280625,0.280625,0.27125,0.27312500000000006,0.28625,0.276875,0.2875,0.27249999999999996,0.29000000000000004,0.29125,0.295625,0.2775000000000001,0.2825,0.275,0.280625,0.28437500000000004,0.30125,0.26,0.28937499999999994,0.280625,0.26374999999999993,0.303125,0.27312500000000006,0.27374999999999994,0.27125,0.301875,0.27937499999999993,0.28374999999999995,0.27875000000000005,0.27249999999999996,0.28875000000000006,0.29625,0.28125,0.291875,0.27937499999999993
ID_008,0.291875,0.30125,0.285625,0.2975,0.2825,0.27937499999999993,0.29125,0.0,0.29374999999999996,0.29000000000000004,0.2975,0.28937499999999994,0.27437500000000004,0.28125,0.28,0.27937499999999993,0.280625,0.275,0.290625,0.27,0.3006249999999999,0.2849999999999999,0.29125,0.30499999999999994,0.30625,0.296875,0.28374999999999995,0.28125,0.2825,0.2931250000000001,0.28437500000000004,0.27625,0.29000000000000004,0.28312500000000007,0.27937499999999993,0.2825,0.308125,0.286875,0.29499999999999993,0.27374999999999994,0.29937499999999995,0.276875,0.2849999999999999,0.2875,0.29875000000000007,0.2975,0.29000000000000004,0.28125,0.286875,0.27937499999999993
ID_009,0.308125,0.29000000000000004,0.275625,0.27625,0.29125,0.27812499999999996,0.28374999999999995,0.29374999999999996,0.0,0.3075,0.29625,0.2693749999999999,0.285625,0.27875000000000005,0.26625,0.286875,0.30937499999999996,0.2849999999999999,0.28937499999999994,0.29499999999999993,0.281875,0.28125,0.28,0.28125,0.30125,0.281875,0.27,0.27875000000000005,0.2849999999999999,0.27937499999999993,0.295625,0.30374999999999996,0.2775000000000001,0.301875,0.281875,0.2825,0.286875,0.28812499999999996,0.27875000000000005,0.2825,0.2931250000000001,0.281875,0.28875000000000006,0.27125,0.265,0.29125,0.29000000000000004,0.2849999999999999,0.281875,0.306875
ID_010,0.27937499999999993,0.2875,0.281875,0.29000000000000004,0.27625,0.295625,0.28,0.29000000000000004,0.3075,0.0,0.29625,0.27312500000000006,0.27437500000000004,0.27875000000000005,0.2925,0.296875,0.2931250000000001,0.2925,0.290625,0.29499999999999993,0.280625,0.28625,0.28,0.28625,0.30499999999999994,0.27937499999999993,0.2925,0.2849999999999999,0.2849999999999999,0.275625,0.27937499999999993,0.30374999999999996,0.27125,0.2931250000000001,0.27312500000000006,0.2875,0.2931250000000001,0.27937499999999993,0.28625,0.28125,0.29937499999999995,0.280625,0.2825,0.28875000000000006,0.2825,0.2825,0.29625,0.27875000000000005,0.2931250000000001,0.27312500000000006
