field_id,year,crop_code,crop_name,pixel_count,pct
osm-1177630014,2022,1,Corn,545,79.8
osm-1177630014,2022,24,Winter Wheat,128,18.74
osm-1177630014,2022,176,Grass/Pasture,4,0.59
osm-1177630014,2022,5,Soybeans,1,0.15
osm-1423190763,2022,176,Grass/Pasture,185,74.9
osm-1423190763,2022,24,Winter Wheat,3,1.21
osm-1469813297,2022,5,Soybeans,25,83.33
osm-1469813297,2022,176,Grass/Pasture,3,10.0
osm-1469813297,2022,36,Forest,1,3.33
osm-1476586502,2022,24,Winter Wheat,784,98.99
osm-1476586502,2022,5,Soybeans,4,0.51
osm-1476586502,2022,36,Forest,1,0.13
osm-637503855,2022,24,Winter Wheat,389,65.27
osm-637503855,2022,5,Soybeans,123,20.64
osm-637503855,2022,1,Corn,2,0.34
osm-637503855,2022,176,Grass/Pasture,1,0.17
