field_id,year,crop_code,crop_name,pixel_count,pct
osm-1177630014,2023,176,Grass/Pasture,5,0.73
osm-1177630014,2023,24,Winter Wheat,3,0.44
osm-1177630014,2023,5,Soybeans,1,0.15
osm-1423190763,2023,176,Grass/Pasture,191,77.33
osm-1423190763,2023,5,Soybeans,29,11.74
osm-1469813297,2023,176,Grass/Pasture,4,13.33
osm-1469813297,2023,36,Forest,1,3.33
osm-1476586502,2023,24,Winter Wheat,84,10.61
osm-1476586502,2023,5,Soybeans,12,1.52
osm-1476586502,2023,36,Forest,1,0.13
osm-637503855,2023,24,Winter Wheat,500,83.89
osm-637503855,2023,5,Soybeans,9,1.51
